Ghi chu:,Water Level (m)- Muc nuoc; Rainfall (mm)-Luong mua; ,,,,,,,,,,,,,,,,,,,,,,,,,
,RF_KienGiang,RF_LeThuy,RF_DongHoi,WL_KienGiang,WL_LeThuy,WL_DongHoi,,RF_KienGiang (t-2),RF_KienGiang (t-1),RF_KienGiang (t),RF_LeThuy (t-2),RF_LeThuy (t-1),RF_LeThuy (t),RF_LeThuy (t+1),RF_DongHoi (t-2),RF_DongHoi (t-1),RF_DongHoi (t),WL_KienGiang (t-2),WL_KienGiang (t-1),WL_KienGiang (t),WL_LeThuy (t-2),WL_LeThuy (t-1),WL_LeThuy (t),WL_DongHoi (t-2),WL_DongHoi (t-1),WL_DongHoi (t)
2/10/2010 8:00,1.4,1.4,3.4,8.88,1.25,0.79,,1.4,2.4,0.2,1.4,1.2,0,4.6,3.4,0,0,8.88,8.49,8.3,1.25,1.28,1.28,0.79,0.79,0.77
2/10/2010 9:00,2.4,1.2,0,8.49,1.28,0.79,,2.4,0.2,4.6,1.2,0,4.6,2.4,0,0,9.8,8.49,8.3,8.06,1.28,1.28,1.23,0.79,0.77,0.71
2/10/2010 10:00,0.2,0,0,8.3,1.28,0.77,,0.2,4.6,3,0,4.6,2.4,0,0,9.8,0.4,8.3,8.06,7.87,1.28,1.23,1.18,0.77,0.71,0.68
2/10/2010 11:00,4.6,4.6,9.8,8.06,1.23,0.71,,4.6,3,0,4.6,2.4,0,0,9.8,0.4,0,8.06,7.87,7.8,1.23,1.18,1.13,0.71,0.68,0.61
2/10/2010 12:00,3,2.4,0.4,7.87,1.18,0.68,,3,0,0.2,2.4,0,0,0,0.4,0,0,7.87,7.8,7.77,1.18,1.13,1.08,0.68,0.61,0.63
2/10/2010 13:00,0,0,0,7.8,1.13,0.61,,0,0.2,3.6,0,0,0,0,0,0,0,7.8,7.77,7.8,1.13,1.08,1.05,0.61,0.63,0.66
2/10/2010 14:00,0.2,0,0,7.77,1.08,0.63,,0.2,3.6,0,0,0,0,0,0,0,0,7.77,7.8,7.88,1.08,1.05,1.03,0.63,0.66,0.69
2/10/2010 15:00,3.6,0,0,7.8,1.05,0.66,,3.6,0,0.2,0,0,0,0,0,0,0,7.8,7.88,7.93,1.05,1.03,1.01,0.66,0.69,0.65
2/10/2010 16:00,0,0,0,7.88,1.03,0.69,,0,0.2,1.2,0,0,0,0.4,0,0,0.2,7.88,7.93,7.94,1.03,1.01,1.01,0.69,0.65,0.6
2/10/2010 17:00,0.2,0,0,7.93,1.01,0.65,,0.2,1.2,2.6,0,0,0.4,3.2,0,0.2,0,7.93,7.94,7.88,1.01,1.01,1.02,0.65,0.6,0.54
2/10/2010 18:00,1.2,0,0.2,7.94,1.01,0.6,,1.2,2.6,2.4,0,0.4,3.2,0.2,0.2,0,7.2,7.94,7.88,7.8,1.01,1.02,1.03,0.6,0.54,0.38
2/10/2010 19:00,2.6,0.4,0,7.88,1.02,0.54,,2.6,2.4,0.6,0.4,3.2,0.2,0,0,7.2,0.2,7.88,7.8,7.79,1.02,1.03,1.03,0.54,0.38,0.25
2/10/2010 20:00,2.4,3.2,7.2,7.8,1.03,0.38,,2.4,0.6,1.8,3.2,0.2,0,0,7.2,0.2,0,7.8,7.79,7.9,1.03,1.03,1.02,0.38,0.25,0.19
2/10/2010 21:00,0.6,0.2,0.2,7.79,1.03,0.25,,0.6,1.8,8.4,0.2,0,0,1.6,0.2,0,0,7.79,7.9,7.9,1.03,1.02,1.01,0.25,0.19,0.09
2/10/2010 22:00,1.8,0,0,7.9,1.02,0.19,,1.8,8.4,5,0,0,1.6,5.4,0,0,7.2,7.9,7.9,8.03,1.02,1.01,1.01,0.19,0.09,0.07
2/10/2010 23:00,8.4,0,0,7.9,1.01,0.09,,8.4,5,11.4,0,1.6,5.4,0,0,7.2,0,7.9,8.03,8.28,1.01,1.01,1.03,0.09,0.07,0.05
3/10/2010 0:00,5,1.6,7.2,8.03,1.01,0.07,,5,11.4,0.2,1.6,5.4,0,0,7.2,0,4.4,8.03,8.28,8.7,1.01,1.03,1.06,0.07,0.05,0.11
3/10/2010 1:00,11.4,5.4,0,8.28,1.03,0.05,,11.4,0.2,11.6,5.4,0,0,3.6,0,4.4,2,8.28,8.7,9.25,1.03,1.06,1.13,0.05,0.11,0.25
3/10/2010 2:00,0.2,0,4.4,8.7,1.06,0.11,,0.2,11.6,4,0,0,3.6,1.2,4.4,2,2,8.7,9.25,10,1.06,1.13,1.25,0.11,0.25,0.39
3/10/2010 3:00,11.6,0,2,9.25,1.13,0.25,,11.6,4,3,0,3.6,1.2,0.8,2,2,0,9.25,10,9.78,1.13,1.25,1.46,0.25,0.39,0.55
3/10/2010 4:00,4,3.6,2,10,1.25,0.39,,4,3,0.4,3.6,1.2,0.8,0,2,0,0.6,10,9.78,9.49,1.25,1.46,1.59,0.39,0.55,0.75
3/10/2010 5:00,3,1.2,0,9.78,1.46,0.55,,3,0.4,2.2,1.2,0.8,0,0,0,0.6,0.2,9.78,9.49,9.22,1.46,1.59,1.65,0.55,0.75,0.96
3/10/2010 6:00,0.4,0.8,0.6,9.49,1.59,0.75,,0.4,2.2,0,0.8,0,0,9.2,0.6,0.2,0,9.49,9.22,8.91,1.59,1.65,1.63,0.75,0.96,1.09
3/10/2010 7:00,2.2,0,0.2,9.22,1.65,0.96,,2.2,0,12.4,0,0,9.2,0,0.2,0,22.2,9.22,8.91,8.77,1.65,1.63,1.59,0.96,1.09,1.16
3/10/2010 8:00,0,0,0,8.91,1.63,1.09,,0,12.4,2,0,9.2,0,1.4,0,22.2,7.6,8.91,8.77,8.73,1.63,1.59,1.55,1.09,1.16,1.26
3/10/2010 9:00,12.4,9.2,22.2,8.77,1.59,1.16,,12.4,2,0.4,9.2,0,1.4,3.4,22.2,7.6,2.2,8.77,8.73,8.71,1.59,1.55,1.51,1.16,1.26,1.23
3/10/2010 10:00,2,0,7.6,8.73,1.55,1.26,,2,0.4,4.2,0,1.4,3.4,0,7.6,2.2,2.4,8.73,8.71,8.75,1.55,1.51,1.49,1.26,1.23,1.21
3/10/2010 11:00,0.4,1.4,2.2,8.71,1.51,1.23,,0.4,4.2,1.4,1.4,3.4,0,12.2,2.2,2.4,12.2,8.71,8.75,8.79,1.51,1.49,1.47,1.23,1.21,1.18
3/10/2010 12:00,4.2,3.4,2.4,8.75,1.49,1.21,,4.2,1.4,15.8,3.4,0,12.2,19.6,2.4,12.2,6.2,8.75,8.79,9,1.49,1.47,1.47,1.21,1.18,1.17
3/10/2010 13:00,1.4,0,12.2,8.79,1.47,1.18,,1.4,15.8,28.6,0,12.2,19.6,2.4,12.2,6.2,5.6,8.79,9,9.72,1.47,1.47,1.48,1.18,1.17,1.21
3/10/2010 14:00,15.8,12.2,6.2,9,1.47,1.17,,15.8,28.6,10.2,12.2,19.6,2.4,0,6.2,5.6,2.4,9,9.72,10.33,1.47,1.48,1.62,1.17,1.21,1.29
3/10/2010 15:00,28.6,19.6,5.6,9.72,1.48,1.21,,28.6,10.2,2.6,19.6,2.4,0,3.8,5.6,2.4,0,9.72,10.33,11.02,1.48,1.62,1.81,1.21,1.29,1.4
3/10/2010 16:00,10.2,2.4,2.4,10.33,1.62,1.29,,10.2,2.6,11.2,2.4,0,3.8,9,2.4,0,0.4,10.33,11.02,11.5,1.62,1.81,2.02,1.29,1.4,1.47
3/10/2010 17:00,2.6,0,0,11.02,1.81,1.4,,2.6,11.2,6.8,0,3.8,9,2.4,0,0.4,6.2,11.02,11.5,11.9,1.81,2.02,2.25,1.4,1.47,1.5
3/10/2010 18:00,11.2,3.8,0.4,11.5,2.02,1.47,,11.2,6.8,0.2,3.8,9,2.4,9.8,0.4,6.2,1.4,11.5,11.9,12.24,2.02,2.25,2.43,1.47,1.5,1.53
3/10/2010 19:00,6.8,9,6.2,11.9,2.25,1.5,,6.8,0.2,11.4,9,2.4,9.8,0,6.2,1.4,1,11.9,12.24,12.16,2.25,2.43,2.57,1.5,1.53,1.54
3/10/2010 20:00,0.2,2.4,1.4,12.24,2.43,1.53,,0.2,11.4,0.4,2.4,9.8,0,1.4,1.4,1,2.2,12.24,12.16,11.89,2.43,2.57,2.66,1.53,1.54,1.48
3/10/2010 21:00,11.4,9.8,1,12.16,2.57,1.54,,11.4,0.4,3.4,9.8,0,1.4,0.2,1,2.2,1.2,12.16,11.89,11.57,2.57,2.66,2.7,1.54,1.48,1.42
3/10/2010 22:00,0.4,0,2.2,11.89,2.66,1.48,,0.4,3.4,0.8,0,1.4,0.2,2.6,2.2,1.2,0.8,11.89,11.57,11.21,2.66,2.7,2.73,1.48,1.42,1.36
3/10/2010 23:00,3.4,1.4,1.2,11.57,2.7,1.42,,3.4,0.8,7.4,1.4,0.2,2.6,4.8,1.2,0.8,0.2,11.57,11.21,10.86,2.7,2.73,2.7,1.42,1.36,1.3
4/10/2010 0:00,0.8,0.2,0.8,11.21,2.73,1.36,,0.8,7.4,9.2,0.2,2.6,4.8,6.2,0.8,0.2,0.2,11.21,10.86,10.15,2.73,2.7,2.66,1.36,1.3,1.25
4/10/2010 1:00,7.4,2.6,0.2,10.86,2.7,1.3,,7.4,9.2,12,2.6,4.8,6.2,21.4,0.2,0.2,1.8,10.86,10.15,9.87,2.7,2.66,2.64,1.3,1.25,1.26
4/10/2010 2:00,9.2,4.8,0.2,10.15,2.66,1.25,,9.2,12,12.4,4.8,6.2,21.4,6.4,0.2,1.8,5.2,10.15,9.87,9.61,2.66,2.64,2.62,1.25,1.26,1.31
4/10/2010 3:00,12,6.2,1.8,9.87,2.64,1.26,,12,12.4,20,6.2,21.4,6.4,11.2,1.8,5.2,1.6,9.87,9.61,9.78,2.64,2.62,2.6,1.26,1.31,1.36
4/10/2010 4:00,12.4,21.4,5.2,9.61,2.62,1.31,,12.4,20,10.4,21.4,6.4,11.2,20,5.2,1.6,10.6,9.61,9.78,10.5,2.62,2.6,2.62,1.31,1.36,1.47
4/10/2010 5:00,20,6.4,1.6,9.78,2.6,1.36,,20,10.4,28.2,6.4,11.2,20,21.2,1.6,10.6,22.4,9.78,10.5,11.27,2.6,2.62,2.7,1.36,1.47,1.56
4/10/2010 6:00,10.4,11.2,10.6,10.5,2.62,1.47,,10.4,28.2,18.2,11.2,20,21.2,26.8,10.6,22.4,6,10.5,11.27,12.15,2.62,2.7,2.8,1.47,1.56,1.71
4/10/2010 7:00,28.2,20,22.4,11.27,2.7,1.56,,28.2,18.2,4,20,21.2,26.8,7.2,22.4,6,7.4,11.27,12.15,12.81,2.7,2.8,2.92,1.56,1.71,1.7
4/10/2010 8:00,18.2,21.2,6,12.15,2.8,1.71,,18.2,4,0.2,21.2,26.8,7.2,0.8,6,7.4,8.4,12.15,12.81,12.7,2.8,2.92,3.03,1.71,1.7,1.78
4/10/2010 9:00,4,26.8,7.4,12.81,2.92,1.7,,4,0.2,0,26.8,7.2,0.8,1,7.4,8.4,32,12.81,12.7,12.61,2.92,3.03,3.11,1.7,1.78,1.83
4/10/2010 10:00,0.2,7.2,8.4,12.7,3.03,1.78,,0.2,0,0.2,7.2,0.8,1,0.2,8.4,32,15.8,12.7,12.61,12.39,3.03,3.11,3.19,1.78,1.83,1.91
4/10/2010 11:00,0,0.8,32,12.61,3.11,1.83,,0,0.2,0,0.8,1,0.2,2.8,32,15.8,22.2,12.61,12.39,11.82,3.11,3.19,3.24,1.83,1.91,1.88
4/10/2010 12:00,0.2,1,15.8,12.39,3.19,1.91,,0.2,0,0.2,1,0.2,2.8,14.4,15.8,22.2,6.8,12.39,11.82,11.06,3.19,3.24,3.3,1.91,1.88,1.88
4/10/2010 13:00,0,0.2,22.2,11.82,3.24,1.88,,0,0.2,9.8,0.2,2.8,14.4,15.4,22.2,6.8,0.4,11.82,11.06,10.13,3.24,3.3,3.33,1.88,1.88,1.92
4/10/2010 14:00,0.2,2.8,6.8,11.06,3.3,1.88,,0.2,9.8,14.6,2.8,14.4,15.4,27.4,6.8,0.4,16,11.06,10.13,9.63,3.3,3.33,3.36,1.88,1.92,1.97
4/10/2010 15:00,9.8,14.4,0.4,10.13,3.33,1.92,,9.8,14.6,5.8,14.4,15.4,27.4,0,0.4,16,11.4,10.13,9.63,9.33,3.33,3.36,3.42,1.92,1.97,2.04
4/10/2010 16:00,14.6,15.4,16,9.63,3.36,1.97,,14.6,5.8,0.2,15.4,27.4,0,0.4,16,11.4,18.8,9.63,9.33,9.21,3.36,3.42,3.47,1.97,2.04,2.05
4/10/2010 17:00,5.8,27.4,11.4,9.33,3.42,2.04,,5.8,0.2,0,27.4,0,0.4,0,11.4,18.8,32.4,9.33,9.21,9.12,3.42,3.47,3.52,2.04,2.05,2.06
4/10/2010 18:00,0.2,0,18.8,9.21,3.47,2.05,,0.2,0,0,0,0.4,0,0,18.8,32.4,26.8,9.21,9.12,8.97,3.47,3.52,3.57,2.05,2.06,2.07
4/10/2010 19:00,0,0.4,32.4,9.12,3.52,2.06,,0,0,0,0.4,0,0,0,32.4,26.8,5.4,9.12,8.97,8.85,3.52,3.57,3.64,2.06,2.07,2.01
4/10/2010 20:00,0,0,26.8,8.97,3.57,2.07,,0,0,0,0,0,0,0,26.8,5.4,0,8.97,8.85,8.77,3.57,3.64,3.68,2.07,2.01,1.92
4/10/2010 21:00,0,0,5.4,8.85,3.64,2.01,,0,0,0,0,0,0,0,5.4,0,0,8.85,8.77,8.74,3.64,3.68,3.73,2.01,1.92,1.83
4/10/2010 22:00,0,0,0,8.77,3.68,1.92,,0,0,0,0,0,0,0,0,0,0,8.77,8.74,8.65,3.68,3.73,3.76,1.92,1.83,1.72
4/10/2010 23:00,0,0,0,8.74,3.73,1.83,,0,0,0,0,0,0,0,0,0,0,8.74,8.65,8.55,3.73,3.76,3.78,1.83,1.72,1.63
5/10/2010 0:00,0,0,0,8.65,3.76,1.72,,0,0,0,0,0,0,0,0,0,0.6,8.65,8.55,8.47,3.76,3.78,3.81,1.72,1.63,1.52
5/10/2010 1:00,0,0,0,8.55,3.78,1.63,,0,0,0,0,0,0,0,0,0.6,6.2,8.55,8.47,8.28,3.78,3.81,3.81,1.63,1.52,1.44
5/10/2010 2:00,0,0,0.6,8.47,3.81,1.52,,0,0,0,0,0,0,0,0.6,6.2,26.8,8.47,8.28,8.15,3.81,3.81,3.81,1.52,1.44,1.37
5/10/2010 3:00,0,0,6.2,8.28,3.81,1.44,,0,0,0,0,0,0,0,6.2,26.8,14,8.28,8.15,8.11,3.81,3.81,3.78,1.44,1.37,1.33
5/10/2010 4:00,0,0,26.8,8.15,3.81,1.37,,0,0,0,0,0,0,0,26.8,14,12.4,8.15,8.11,8.01,3.81,3.78,3.76,1.37,1.33,1.35
5/10/2010 5:00,0,0,14,8.11,3.78,1.33,,0,0,0,0,0,0,0,14,12.4,16.4,8.11,8.01,7.95,3.78,3.76,3.74,1.33,1.35,1.39
5/10/2010 6:00,0,0,12.4,8.01,3.76,1.35,,0,0,0,0,0,0,0,12.4,16.4,38.2,8.01,7.95,7.88,3.76,3.74,3.71,1.35,1.39,1.45
5/10/2010 7:00,0,0,16.4,7.95,3.74,1.39,,0,0,0,0,0,0,2,16.4,38.2,18.4,7.95,7.88,7.84,3.74,3.71,3.67,1.39,1.45,1.5
5/10/2010 8:00,0,0,38.2,7.88,3.71,1.45,,0,0,0,0,0,2,9.2,38.2,18.4,11.8,7.88,7.84,7.79,3.71,3.67,3.65,1.45,1.5,1.58
5/10/2010 9:00,0,0,18.4,7.84,3.67,1.5,,0,0,0.2,0,2,9.2,8.4,18.4,11.8,8,7.84,7.79,7.74,3.67,3.65,3.63,1.5,1.58,1.59
5/10/2010 10:00,0,2,11.8,7.79,3.65,1.58,,0,0.2,0.6,2,9.2,8.4,11.2,11.8,8,0.4,7.79,7.74,7.69,3.65,3.63,3.63,1.58,1.59,1.56
5/10/2010 11:00,0.2,9.2,8,7.74,3.63,1.59,,0.2,0.6,2.4,9.2,8.4,11.2,8.2,8,0.4,0,7.74,7.69,7.65,3.63,3.63,3.61,1.59,1.56,1.49
5/10/2010 12:00,0.6,8.4,0.4,7.69,3.63,1.56,,0.6,2.4,3.4,8.4,11.2,8.2,2,0.4,0,0,7.69,7.65,7.61,3.63,3.61,3.57,1.56,1.49,1.41
5/10/2010 13:00,2.4,11.2,0,7.65,3.61,1.49,,2.4,3.4,1.8,11.2,8.2,2,0.2,0,0,0,7.65,7.61,7.58,3.61,3.57,3.55,1.49,1.41,1.35
5/10/2010 14:00,3.4,8.2,0,7.61,3.57,1.41,,3.4,1.8,1.8,8.2,2,0.2,0.2,0,0,0.4,7.61,7.58,7.58,3.57,3.55,3.52,1.41,1.35,1.32
5/10/2010 15:00,1.8,2,0,7.58,3.55,1.35,,1.8,1.8,0.4,2,0.2,0.2,0,0,0.4,0,7.58,7.58,7.67,3.55,3.52,3.49,1.35,1.32,1.31
5/10/2010 16:00,1.8,0.2,0.4,7.58,3.52,1.32,,1.8,0.4,3.6,0.2,0.2,0,1.2,0.4,0,0,7.58,7.67,8,3.52,3.49,3.47,1.32,1.31,1.29
5/10/2010 17:00,0.4,0.2,0,7.67,3.49,1.31,,0.4,3.6,2.4,0.2,0,1.2,0.6,0,0,0,7.67,8,8.06,3.49,3.47,3.44,1.31,1.29,1.31
5/10/2010 18:00,3.6,0,0,8,3.47,1.29,,3.6,2.4,5.2,0,1.2,0.6,1.4,0,0,0,8,8.06,8,3.47,3.44,3.41,1.29,1.31,1.3
5/10/2010 19:00,2.4,1.2,0,8.06,3.44,1.31,,2.4,5.2,3.6,1.2,0.6,1.4,1.4,0,0,0,8.06,8,8.01,3.44,3.41,3.38,1.31,1.3,1.29
5/10/2010 20:00,5.2,0.6,0,8,3.41,1.3,,5.2,3.6,0.2,0.6,1.4,1.4,5,0,0,0,8,8.01,8.1,3.41,3.38,3.35,1.3,1.29,1.24
5/10/2010 21:00,3.6,1.4,0,8.01,3.38,1.29,,3.6,0.2,0,1.4,1.4,5,0,0,0,0,8.01,8.1,8.12,3.38,3.35,3.32,1.29,1.24,1.16
5/10/2010 22:00,0.2,1.4,0,8.1,3.35,1.24,,0.2,0,0,1.4,5,0,0.6,0,0,0,8.1,8.12,8.11,3.35,3.32,3.3,1.24,1.16,1.05
5/10/2010 23:00,0,5,0,8.12,3.32,1.16,,0,0,0,5,0,0.6,5,0,0,1,8.12,8.11,8.08,3.32,3.3,3.27,1.16,1.05,0.93
6/10/2010 0:00,0,0,0,8.11,3.3,1.05,,0,0,7.2,0,0.6,5,8.8,0,1,0.2,8.11,8.08,8.02,3.3,3.27,3.24,1.05,0.93,0.82
6/10/2010 1:00,0,0.6,1,8.08,3.27,0.93,,0,7.2,7.4,0.6,5,8.8,3.4,1,0.2,0,8.08,8.02,7.96,3.27,3.24,3.21,0.93,0.82,0.71
6/10/2010 2:00,7.2,5,0.2,8.02,3.24,0.82,,7.2,7.4,4.8,5,8.8,3.4,3.4,0.2,0,0,8.02,7.96,7.87,3.24,3.21,3.19,0.82,0.71,0.63
6/10/2010 3:00,7.4,8.8,0,7.96,3.21,0.71,,7.4,4.8,2.6,8.8,3.4,3.4,0,0,0,0,7.96,7.87,8,3.21,3.19,3.17,0.71,0.63,0.6
6/10/2010 4:00,4.8,3.4,0,7.87,3.19,0.63,,4.8,2.6,0.4,3.4,3.4,0,0,0,0,0,7.87,8,8.28,3.19,3.17,3.14,0.63,0.6,0.61
6/10/2010 5:00,2.6,3.4,0,8,3.17,0.6,,2.6,0.4,0,3.4,0,0,0,0,0,0,8,8.28,8.75,3.17,3.14,3.11,0.6,0.61,0.69
6/10/2010 6:00,0.4,0,0,8.28,3.14,0.61,,0.4,0,0,0,0,0,0,0,0,0,8.28,8.75,8.63,3.14,3.11,3.08,0.61,0.69,0.8
6/10/2010 7:00,0,0,0,8.75,3.11,0.69,,0,0,0,0,0,0,0,0,0,0.2,8.75,8.63,8.42,3.11,3.08,3.06,0.69,0.8,0.92
6/10/2010 8:00,0,0,0,8.63,3.08,0.8,,0,0,0.2,0,0,0,0,0,0.2,0,8.63,8.42,8.21,3.08,3.06,3.03,0.8,0.92,0.99
6/10/2010 9:00,0,0,0.2,8.42,3.06,0.92,,0,0.2,0,0,0,0,0.4,0.2,0,0,8.42,8.21,8.05,3.06,3.03,3.01,0.92,0.99,1.05
6/10/2010 10:00,0.2,0,0,8.21,3.03,0.99,,0.2,0,0,0,0,0.4,9.8,0,0,9.8,8.21,8.05,8,3.03,3.01,2.98,0.99,1.05,1.08
6/10/2010 11:00,0,0,0,8.05,3.01,1.05,,0,0,0.6,0,0.4,9.8,1.8,0,9.8,2,8.05,8,7.89,3.01,2.98,2.95,1.05,1.08,1.03
