Ghi chu:,Water Level (m)- Muc nuoc; Rainfall (mm)-Luong mua; ,,,,,
2/10/2010 11:00,4.6,4.6,9.8,8.06,1.23,0.71
2/10/2010 12:00,3,2.4,0.4,7.87,1.18,0.68
2/10/2010 13:00,0,0,0,7.8,1.13,0.61
2/10/2010 14:00,0.2,0,0,7.77,1.08,0.63
2/10/2010 15:00,3.6,0,0,7.8,1.05,0.66
2/10/2010 16:00,0,0,0,7.88,1.03,0.69
2/10/2010 17:00,0.2,0,0,7.93,1.01,0.65
2/10/2010 18:00,1.2,0,0.2,7.94,1.01,0.6
2/10/2010 19:00,2.6,0.4,0,7.88,1.02,0.54
2/10/2010 20:00,2.4,3.2,7.2,7.8,1.03,0.38
2/10/2010 21:00,0.6,0.2,0.2,7.79,1.03,0.25
2/10/2010 22:00,1.8,0,0,7.9,1.02,0.19
2/10/2010 23:00,8.4,0,0,7.9,1.01,0.09
3/10/2010 0:00,5,1.6,7.2,8.03,1.01,0.07
3/10/2010 1:00,11.4,5.4,0,8.28,1.03,0.05
3/10/2010 2:00,0.2,0,4.4,8.7,1.06,0.11
3/10/2010 3:00,11.6,0,2,9.25,1.13,0.25
3/10/2010 4:00,4,3.6,2,10,1.25,0.39
3/10/2010 5:00,3,1.2,0,9.78,1.46,0.55
3/10/2010 6:00,0.4,0.8,0.6,9.49,1.59,0.75
3/10/2010 7:00,2.2,0,0.2,9.22,1.65,0.96
3/10/2010 8:00,0,0,0,8.91,1.63,1.09
3/10/2010 9:00,12.4,9.2,22.2,8.77,1.59,1.16
3/10/2010 10:00,2,0,7.6,8.73,1.55,1.26
3/10/2010 11:00,0.4,1.4,2.2,8.71,1.51,1.23
3/10/2010 12:00,4.2,3.4,2.4,8.75,1.49,1.21
3/10/2010 13:00,1.4,0,12.2,8.79,1.47,1.18
3/10/2010 14:00,15.8,12.2,6.2,9,1.47,1.17
3/10/2010 15:00,28.6,19.6,5.6,9.72,1.48,1.21
3/10/2010 16:00,10.2,2.4,2.4,10.33,1.62,1.29
3/10/2010 17:00,2.6,0,0,11.02,1.81,1.4
3/10/2010 18:00,11.2,3.8,0.4,11.5,2.02,1.47
3/10/2010 19:00,6.8,9,6.2,11.9,2.25,1.5
3/10/2010 20:00,0.2,2.4,1.4,12.24,2.43,1.53
3/10/2010 21:00,11.4,9.8,1,12.16,2.57,1.54
3/10/2010 22:00,0.4,0,2.2,11.89,2.66,1.48
3/10/2010 23:00,3.4,1.4,1.2,11.57,2.7,1.42
4/10/2010 0:00,0.8,0.2,0.8,11.21,2.73,1.36
4/10/2010 1:00,7.4,2.6,0.2,10.86,2.7,1.3
4/10/2010 2:00,9.2,4.8,0.2,10.15,2.66,1.25
4/10/2010 3:00,12,6.2,1.8,9.87,2.64,1.26
4/10/2010 4:00,12.4,21.4,5.2,9.61,2.62,1.31
4/10/2010 5:00,20,6.4,1.6,9.78,2.6,1.36
4/10/2010 6:00,10.4,11.2,10.6,10.5,2.62,1.47
4/10/2010 7:00,28.2,20,22.4,11.27,2.7,1.56
4/10/2010 8:00,18.2,21.2,6,12.15,2.8,1.71
4/10/2010 9:00,4,26.8,7.4,12.81,2.92,1.7
4/10/2010 10:00,0.2,7.2,8.4,12.7,3.03,1.78
4/10/2010 11:00,0,0.8,32,12.61,3.11,1.83
4/10/2010 12:00,0.2,1,15.8,12.39,3.19,1.91
4/10/2010 13:00,0,0.2,22.2,11.82,3.24,1.88
4/10/2010 14:00,0.2,2.8,6.8,11.06,3.3,1.88
4/10/2010 15:00,9.8,14.4,0.4,10.13,3.33,1.92
4/10/2010 16:00,14.6,15.4,16,9.63,3.36,1.97
4/10/2010 17:00,5.8,27.4,11.4,9.33,3.42,2.04
4/10/2010 18:00,0.2,0,18.8,9.21,3.47,2.05
4/10/2010 19:00,0,0.4,32.4,9.12,3.52,2.06
4/10/2010 20:00,0,0,26.8,8.97,3.57,2.07
4/10/2010 21:00,0,0,5.4,8.85,3.64,2.01
4/10/2010 22:00,0,0,0,8.77,3.68,1.92
4/10/2010 23:00,0,0,0,8.74,3.73,1.83
5/10/2010 0:00,0,0,0,8.65,3.76,1.72
5/10/2010 1:00,0,0,0,8.55,3.78,1.63
5/10/2010 2:00,0,0,0.6,8.47,3.81,1.52
5/10/2010 3:00,0,0,6.2,8.28,3.81,1.44
5/10/2010 4:00,0,0,26.8,8.15,3.81,1.37
5/10/2010 5:00,0,0,14,8.11,3.78,1.33
5/10/2010 6:00,0,0,12.4,8.01,3.76,1.35
5/10/2010 7:00,0,0,16.4,7.95,3.74,1.39
5/10/2010 8:00,0,0,38.2,7.88,3.71,1.45
5/10/2010 9:00,0,0,18.4,7.84,3.67,1.5
5/10/2010 10:00,0,2,11.8,7.79,3.65,1.58
5/10/2010 11:00,0.2,9.2,8,7.74,3.63,1.59
5/10/2010 12:00,0.6,8.4,0.4,7.69,3.63,1.56
5/10/2010 13:00,2.4,11.2,0,7.65,3.61,1.49
5/10/2010 14:00,3.4,8.2,0,7.61,3.57,1.41
5/10/2010 15:00,1.8,2,0,7.58,3.55,1.35
5/10/2010 16:00,1.8,0.2,0.4,7.58,3.52,1.32
5/10/2010 17:00,0.4,0.2,0,7.67,3.49,1.31
5/10/2010 18:00,3.6,0,0,8,3.47,1.29
5/10/2010 19:00,2.4,1.2,0,8.06,3.44,1.31
5/10/2010 20:00,5.2,0.6,0,8,3.41,1.3
5/10/2010 21:00,3.6,1.4,0,8.01,3.38,1.29
5/10/2010 22:00,0.2,1.4,0,8.1,3.35,1.24
5/10/2010 23:00,0,5,0,8.12,3.32,1.16
6/10/2010 0:00,0,0,0,8.11,3.3,1.05
6/10/2010 1:00,0,0.6,1,8.08,3.27,0.93
6/10/2010 2:00,7.2,5,0.2,8.02,3.24,0.82
6/10/2010 3:00,7.4,8.8,0,7.96,3.21,0.71
6/10/2010 4:00,4.8,3.4,0,7.87,3.19,0.63
6/10/2010 5:00,2.6,3.4,0,8,3.17,0.6
6/10/2010 6:00,0.4,0,0,8.28,3.14,0.61
6/10/2010 7:00,0,0,0,8.75,3.11,0.69
6/10/2010 8:00,0,0,0,8.63,3.08,0.8
6/10/2010 9:00,0,0,0.2,8.42,3.06,0.92
6/10/2010 10:00,0.2,0,0,8.21,3.03,0.99
6/10/2010 11:00,0,0,0,8.05,3.01,1.05
6/10/2010 12:00,0,0.4,9.8,8,2.98,1.08
6/10/2010 13:00,0.6,9.8,2,7.89,2.95,1.03
6/10/2010 14:00,3,1.8,0,7.8,2.93,0.96
6/10/2010 15:00,0.8,0.6,0,7.74,2.91,0.88
6/10/2010 16:00,0.2,0,0,7.68,2.88,0.82
6/10/2010 17:00,0.4,0,0,7.65,2.85,0.78
6/10/2010 18:00,0,0,0,7.6,2.83,0.76
6/10/2010 19:00,0,0,0,7.58,2.81,0.79
6/10/2010 20:00,0,0,0,7.54,2.78,0.86
6/10/2010 21:00,0,0,0,7.52,2.75,0.92
6/10/2010 22:00,0,0,0,7.48,2.72,0.92
6/10/2010 23:00,0,0,0,7.43,2.68,0.89
7/10/2010 0:00,0,0,0,7.4,2.66,0.83
7/10/2010 1:00,0,0,0,7.39,2.64,0.7
7/10/2010 2:00,0,0,0,7.36,2.62,0.55
7/10/2010 3:00,0,0,0,7.33,2.59,0.4
7/10/2010 4:00,0,0,0.6,7.3,2.57,0.28
7/10/2010 5:00,0,0,1.8,7.28,2.54,0.21
7/10/2010 6:00,0,0.2,0,7.25,2.51,0.18
7/10/2010 7:00,0,0,0,7.23,2.48,0.19
7/10/2010 8:00,0,0,0,7.2,2.46,0.29
7/10/2010 9:00,0,0,0,7.15,2.43,0.44
7/10/2010 10:00,0,0,0,7.1,2.4,0.56
7/10/2010 11:00,0,0,0,7.04,2.37,0.64
7/10/2010 12:00,0,0,0,6.98,2.35,0.68
7/10/2010 13:00,0,0,0,6.93,2.32,0.68
7/10/2010 14:00,0,0,0,6.89,2.29,0.61
7/10/2010 15:00,0,0,0,6.87,2.26,0.5
7/10/2010 16:00,0,0,0,6.85,2.25,0.39
7/10/2010 17:00,0,0,0,6.84,2.24,0.35
7/10/2010 18:00,0,0,0,6.83,2.22,0.34
7/10/2010 19:00,0,0,0,6.83,2.19,0.39
7/10/2010 20:00,0,0,0,6.83,2.17,0.5
7/10/2010 21:00,0,0,0.4,6.83,2.15,0.65
7/10/2010 22:00,0.2,0.2,0,6.83,2.14,0.79
7/10/2010 23:00,0.2,0.2,0,6.83,2.12,0.84
8/10/2010 0:00,0,0,0,6.83,2.1,0.81
8/10/2010 1:00,0,0,0,6.83,2.08,0.71
8/10/2010 2:00,0,0,0,6.83,2.06,0.57
8/10/2010 3:00,0,0,0,6.83,2.04,0.36
8/10/2010 4:00,0,0,0,6.83,2.02,0.17
8/10/2010 5:00,0,0,0,6.83,2,0.03
8/10/2010 6:00,0,0,0,6.82,1.98,-0.06
8/10/2010 7:00,0,0,0,6.82,1.96,-0.08
8/10/2010 8:00,0,0,0,6.82,1.94,0.01
8/10/2010 9:00,0,0,0,6.81,1.93,0.18
8/10/2010 10:00,0,0,0,6.81,1.91,0.36
8/10/2010 11:00,0,0,0,6.8,1.89,0.44
8/10/2010 12:00,0,0,0,6.8,1.88,0.53
8/10/2010 13:00,0,0,0,6.79,1.86,0.55
8/10/2010 14:00,0,0,0,6.78,1.84,0.44
8/10/2010 15:00,0,0,0,6.78,1.83,0.3
8/10/2010 16:00,0,0,0,6.77,1.81,0.15
8/10/2010 17:00,0,0,0,6.76,1.79,0.03
8/10/2010 18:00,0,0,0,6.75,1.78,-0.03
8/10/2010 19:00,0,0,0,6.74,1.76,-0.01
8/10/2010 20:00,0,0,0,6.73,1.74,0.1
8/10/2010 21:00,0,0,0,6.72,1.73,0.31
8/10/2010 22:00,0,0,0,6.7,1.71,0.54
8/10/2010 23:00,0,0,0,6.69,1.7,0.7
9/10/2010 0:00,0,0,0,6.67,1.68,0.78
9/10/2010 1:00,0,0,0,6.66,1.67,0.83
9/10/2010 2:00,0,0,0,6.65,1.66,0.78
9/10/2010 3:00,0,0,0,6.63,1.64,0.59
9/10/2010 4:00,0,0,0,6.62,1.63,0.36
9/10/2010 5:00,0.2,0,0,6.61,1.62,0.16
9/10/2010 6:00,0,0,0,6.59,1.6,0.01
9/10/2010 7:00,0,0,0,6.58,1.59,-0.09
9/10/2010 8:00,0,0,0,6.57,1.58,-0.1
9/10/2010 9:00,0,0,0,6.56,1.56,-0.06
9/10/2010 10:00,0,0,0,6.55,1.55,0.14
9/10/2010 11:00,0,0,0,6.54,1.54,0.32
9/10/2010 12:00,0,0,0,6.53,1.52,0.4
9/10/2010 13:00,0,0,0,6.52,1.51,0.4
9/10/2010 14:00,0,0,0,6.51,1.5,0.37
9/10/2010 15:00,0,0,0,6.51,1.48,0.2
9/10/2010 16:00,0,0,0,6.5,1.47,-0.05
9/10/2010 17:00,0,0,0,6.49,1.46,-0.19
9/10/2010 18:00,0,0,0,6.49,1.45,-0.29
9/10/2010 19:00,0,0,0,6.48,1.44,-0.31
9/10/2010 20:00,0,0,0,6.47,1.43,-0.24
9/10/2010 21:00,0,0,0,6.47,1.42,-0.07
9/10/2010 22:00,0,0,0,6.46,1.41,0.28
9/10/2010 23:00,0,0,0,6.45,1.4,0.54
10/10/2010 0:00,0,0,0,6.45,1.39,0.72
10/10/2010 1:00,0,0,0,6.44,1.38,0.83
10/10/2010 2:00,0,0,0,6.43,1.37,0.95
10/10/2010 3:00,0,0,0,6.43,1.36,0.89
10/10/2010 4:00,0,0,0,6.42,1.35,0.73
10/10/2010 5:00,0,0,0,6.42,1.34,0.5
10/10/2010 6:00,0,0,0,6.41,1.33,0.28
10/10/2010 7:00,0,0,0,6.41,1.32,0.13
10/10/2010 8:00,0,0,0,6.4,1.31,0.04
10/10/2010 9:00,0,0,0,6.4,1.3,0.03
10/10/2010 10:00,0,0,0,6.39,1.29,0.14
10/10/2010 11:00,0,0,0,6.39,1.28,0.3
10/10/2010 12:00,0,0,0,6.38,1.27,0.37
10/10/2010 13:00,0,0,0,6.38,1.26,0.44
10/10/2010 14:00,0,0,0,6.38,1.25,0.4
10/10/2010 15:00,0,0,0,6.37,1.24,0.3
10/10/2010 16:00,0,0,0,6.37,1.23,0.02
10/10/2010 17:00,0,0,0,6.37,1.22,-0.25
10/10/2010 18:00,0,0,0,6.36,1.22,-0.39
10/10/2010 19:00,0,0,0,6.36,1.21,-0.46
10/10/2010 20:00,0,0,0,6.36,1.2,-0.47
10/10/2010 21:00,0,0,0,6.35,1.2,-0.4
10/10/2010 22:00,0,0,0,6.35,1.19,-0.18
10/10/2010 23:00,0,0,0,6.35,1.18,0.13
11/10/2010 0:00,0,0,0,6.34,1.18,0.4
11/10/2010 1:00,0,0,0,6.34,1.17,0.6
11/10/2010 2:00,0,0,0,6.34,1.16,0.76
11/10/2010 3:00,0,0,0,6.33,1.15,0.86
11/10/2010 4:00,0,0,0,6.33,1.15,0.81
11/10/2010 5:00,0,0,0,6.32,1.14,0.71
11/10/2010 6:00,0,0,0,6.31,1.13,0.55
11/10/2010 7:00,0,0,0,6.31,1.12,0.39
11/10/2010 8:00,0,0,0,6.31,1.11,0.25
11/10/2010 9:00,0,0,0,6.3,1.11,0.16
11/10/2010 10:00,0,0,0,6.3,1.1,0.14
11/10/2010 11:00,0,0,0,6.3,1.09,0.23
11/10/2010 12:00,0,0,0,6.29,1.09,0.35
11/10/2010 13:00,0,0,0,6.29,1.08,0.42
11/10/2010 14:00,0,0,0,6.29,1.07,0.41
11/10/2010 15:00,0,0,0,6.28,1.07,0.36
11/10/2010 16:00,0,0,0,6.28,1.06,0.13
11/10/2010 17:00,0,0.4,0,6.28,1.05,-0.14
11/10/2010 18:00,0,0,0,6.28,1.05,-0.39
11/10/2010 19:00,0.4,0,0,6.28,1.04,-0.54
11/10/2010 20:00,0,0,0,6.28,1.03,-0.61
11/10/2010 21:00,0,0,0,6.28,1.03,-0.56
11/10/2010 22:00,0,0,0,6.28,1.02,-0.43
11/10/2010 23:00,0,0,3.8,6.28,1.01,-0.25
12/10/2010 0:00,0,0,0.2,6.28,1.01,-0.03
12/10/2010 1:00,0,0,0,6.27,1,0.19
12/10/2010 2:00,0,0,0,6.26,0.99,0.4
12/10/2010 3:00,0,0.2,0,6.25,0.98,0.6
12/10/2010 4:00,0.4,0,0,6.24,0.98,0.72
12/10/2010 5:00,6.4,0,0,6.23,0.97,0.68
12/10/2010 6:00,0,3,0,6.24,0.96,0.62
12/10/2010 7:00,0,0,9,6.25,0.96,0.58
12/10/2010 8:00,1.6,1.2,5.4,6.28,0.96,0.41
12/10/2010 9:00,7.6,1,0,6.31,0.95,0.28
12/10/2010 10:00,1.8,0,0.4,6.34,0.95,0.23
12/10/2010 11:00,2.8,0.2,0,6.36,0.95,0.26
12/10/2010 12:00,0.4,6.6,0,6.36,0.95,0.34
12/10/2010 13:00,15,0,0,6.33,0.95,0.41
12/10/2010 14:00,0,0,0,6.28,0.95,0.47
12/10/2010 15:00,0.4,0,0.4,6.26,0.94,0.4
12/10/2010 16:00,0.2,0,0,6.35,0.94,0.28
12/10/2010 17:00,3,0.2,0,6.59,0.94,0.05
12/10/2010 18:00,14.4,0,0,6.92,0.94,-0.18
12/10/2010 19:00,0.2,3.6,0,7.26,0.95,-0.37
12/10/2010 20:00,0,1,0,7.47,0.96,-0.49
12/10/2010 21:00,5.6,0,0,7.4,0.97,-0.54
12/10/2010 22:00,0,4.8,0,7.36,0.99,-0.49
12/10/2010 23:00,0.2,0.2,14,7.28,1,-0.37
13/10/2010 00:00,0,0,4.6,7.24,1.01,-0.18
13/10/2010 01:00,0.2,0,0.6,7.23,1.02,0.04
13/10/2010 02:00,0,6.4,1.6,7.19,1.02,0.22
13/10/2010 03:00,0.2,0,0.2,7.12,1.03,0.36
13/10/2010 04:00,0,0,0,7.04,1.02,0.52
13/10/2010 05:00,0,0,0,6.95,1.02,0.66
13/10/2010 06:00,0,0.6,0,6.87,1.02,0.66
13/10/2010 07:00,0.2,0,0,6.82,1.01,0.57
13/10/2010 08:00,0,0,0,6.8,1,0.53
13/10/2010 09:00,0.4,0,0,6.79,1,0.42
13/10/2010 10:00,3.4,0,0,6.76,0.99,0.3
13/10/2010 11:00,0.2,0,0,6.71,0.99,0.31
13/10/2010 12:00,3,0,0,6.71,0.99,0.27
13/10/2010 13:00,0,0,0,6.88,0.99,0.32
13/10/2010 14:00,0,0,0,7.18,0.99,0.39
13/10/2010 15:00,0.2,0,0,7.3,1,0.35
13/10/2010 16:00,0,0,0,7.57,1,0.3
13/10/2010 17:00,0,0,0,7.62,1.01,0.23
13/10/2010 18:00,0,0,0,7.55,1.01,-0.01
13/10/2010 19:00,0,0,0,7.49,1.02,-0.27
13/10/2010 20:00,0,0,0,7.44,1.03,-0.39
13/10/2010 21:00,1.2,0.6,0,7.4,1.03,-0.49
13/10/2010 22:00,0.4,6,0,7.34,1.04,-0.5
13/10/2010 23:00,0,0,0,7.28,1.04,-0.45
14/10/2010 00:00,0,0,14.2,7.24,1.04,-0.32
14/10/2010 01:00,0,0.2,0.6,7.2,1.03,-0.18
14/10/2010 02:00,1.8,0,8.8,7.14,1.02,-0.04
14/10/2010 03:00,10.4,6.4,8.2,7.07,1.01,0.15
14/10/2010 04:00,0.2,0,0,6.99,0.99,0.3
14/10/2010 05:00,0,0,0,6.93,0.99,0.43
14/10/2010 06:00,0,0,0,6.88,0.99,0.52
14/10/2010 07:00,0,0,0,6.79,1,0.55
14/10/2010 08:00,1.2,2.8,0.2,6.68,1.02,0.55
14/10/2010 09:00,24.2,0.4,0.8,6.86,1.05,0.52
14/10/2010 10:00,4,35,0.2,7.54,1.08,0.44
14/10/2010 11:00,11.8,34.8,7.6,8.14,1.1,0.42
14/10/2010 12:00,4.4,14.4,21.2,8.2,1.13,0.39
14/10/2010 13:00,3,3.6,5,8.29,1.2,0.4
14/10/2010 14:00,0.2,10,9,8.52,1.3,0.41
14/10/2010 15:00,0,0.2,1,8.82,1.35,0.45
14/10/2010 16:00,0,0,0,8.56,1.42,0.39
14/10/2010 17:00,0,0,0,8.3,1.46,0.37
14/10/2010 18:00,0,0,0,7.97,1.46,0.25
14/10/2010 19:00,2,0.2,0,7.86,1.41,0.05
14/10/2010 20:00,2.2,0,0,7.77,1.38,-0.12
14/10/2010 21:00,0.6,0.2,0,7.66,1.35,-0.24
14/10/2010 22:00,13.6,6.2,1.8,7.56,1.33,-0.28
14/10/2010 23:00,0.8,2,16.4,7.55,1.32,-0.28
15/10/2010 00:00,0,0.2,4.4,7.61,1.32,-0.24
15/10/2010 01:00,4.2,0.6,4.6,7.7,1.34,-0.15
15/10/2010 02:00,1,0,1.8,7.76,1.36,0.02
15/10/2010 03:00,0,0,0.6,7.8,1.39,0.07
15/10/2010 04:00,0,0.2,0.2,7.83,1.4,0.26
15/10/2010 05:00,0,0,0,7.83,1.38,0.36
15/10/2010 06:00,1.2,0,0,7.81,1.36,0.53
15/10/2010 07:00,0.2,0,0.6,7.79,1.36,0.65
15/10/2010 08:00,0.6,1.2,10.4,7.79,1.36,0.72
15/10/2010 09:00,28.4,0.8,0.8,7.76,1.37,0.79
15/10/2010 10:00,39.8,12.6,0.4,7.78,1.37,0.7
15/10/2010 11:00,16.6,18,11.8,8.57,1.41,0.78
15/10/2010 12:00,2.2,3.2,3,10.24,1.54,0.78
15/10/2010 13:00,0.2,0.2,0.8,10.79,1.75,0.67
15/10/2010 14:00,0.4,0,0,10.9,2.02,0.61
15/10/2010 15:00,2.4,1.2,1.4,10.87,2.19,0.71
15/10/2010 16:00,25.8,10.8,2,10.31,2.3,0.78
15/10/2010 17:00,32.2,10.4,0.4,9.7,2.34,0.76
15/10/2010 18:00,4.4,7.4,13.8,9.77,2.3,0.79
15/10/2010 19:00,9.4,11.6,7.2,10.23,2.27,0.8
15/10/2010 20:00,6.2,19,4.2,10.32,2.31,0.64
15/10/2010 21:00,0.8,3.6,13,10.24,2.36,0.51
15/10/2010 22:00,1.4,0,6.6,10.35,2.39,0.46
15/10/2010 23:00,3.8,1.4,1.4,10.32,2.41,0.43
16/10/2010 00:00,2.8,0.6,0,10.17,2.43,0.5
16/10/2010 01:00,7.6,2,3.6,10.15,2.43,0.55
16/10/2010 02:00,0,0,2.4,10.09,2.41,0.61
16/10/2010 03:00,0.2,1.2,0.4,9.97,2.39,0.68
16/10/2010 04:00,0,0,0.4,9.87,2.38,0.74
16/10/2010 05:00,0,0,0,9.76,2.37,0.83
16/10/2010 06:00,8.2,0.2,0,9.43,2.37,0.92
16/10/2010 07:00,2.6,0,0,9.14,2.36,0.98
16/10/2010 08:00,8.6,2.4,9.6,8.87,2.33,1.06
16/10/2010 09:00,1.2,35.4,0,8.79,2.3,1.08
16/10/2010 10:00,0,20.6,0.2,8.99,2.32,1.1
16/10/2010 11:00,0,0.4,11.2,9.13,2.34,1.09
16/10/2010 12:00,0,0,46.8,9.06,2.36,1.03
16/10/2010 13:00,0,0,8.6,8.9,2.38,1.05
16/10/2010 14:00,15.6,0.2,9.4,8.72,2.39,1.01
16/10/2010 15:00,1.8,0.4,11.2,8.58,2.39,0.99
16/10/2010 16:00,11.6,3.6,13.2,8.47,2.39,1
16/10/2010 17:00,14.6,12,3.4,8.35,2.41,0.95
16/10/2010 18:00,15.6,6,10.6,8.35,2.43,0.94
16/10/2010 19:00,45,5.4,25.2,8.59,2.45,0.9
16/10/2010 20:00,59,6.2,29,9.09,2.49,0.86
16/10/2010 21:00,15.4,18.6,33,11.44,2.54,0.78
16/10/2010 22:00,7.2,54.4,45.6,12.9,2.74,0.69
16/10/2010 23:00,1.4,3.4,59,13.2,2.94,0.73
17/10/2010 00:00,1.2,1.6,5.4,13.33,3.05,0.82
17/10/2010 01:00,1.6,2.2,2.8,12.52,3.12,0.76
17/10/2010 02:00,0.6,0.6,1.2,11.42,3.15,0.81
17/10/2010 03:00,0.8,1,0.6,10.31,3.16,0.86
17/10/2010 04:00,0.2,0.2,0,9.55,3.14,0.93
17/10/2010 05:00,0,0.2,0,9.12,3.1,1
17/10/2010 06:00,0,0,0,8.99,3.04,1.08
17/10/2010 07:00,0.2,0,0,8.71,3.01,1.14
17/10/2010 08:00,0.2,0,0,8.52,2.98,1.21
17/10/2010 09:00,0,0,0.2,8.41,2.96,1.23
17/10/2010 10:00,0,0,0,8.31,2.94,1.24
17/10/2010 11:00,0,0,0,8.24,2.92,1.21
17/10/2010 12:00,0,0,0,8.19,2.9,1.19
17/10/2010 13:00,0,0,0,8.15,2.89,1.14
17/10/2010 14:00,0,0,0,8.07,2.88,1.12
17/10/2010 15:00,0,0,0,8.04,2.86,1.11
17/10/2010 16:00,0,0,0,8,2.84,1.11
17/10/2010 17:00,0,0,0,7.93,2.82,1.06
17/10/2010 18:00,0,0,0,7.87,2.8,1.03
17/10/2010 19:00,0,0,0,7.82,2.78,0.98
17/10/2010 20:00,0,0,0,7.73,2.76,0.91
17/10/2010 21:00,0,0,0,7.69,2.74,0.84
17/10/2010 22:00,0,0,0,7.64,2.72,0.74
17/10/2010 23:00,0,0,0,7.53,2.7,0.65
18/10/2010 00:00,0,0,0,7.49,2.67,0.56
18/10/2010 01:00,0,0,0,7.5,2.64,0.51
18/10/2010 02:00,0,0,0,7.5,2.62,0.45
18/10/2010 03:00,0.4,2,0,7.49,2.61,0.43
18/10/2010 04:00,0,0.2,0,7.48,2.59,0.45
18/10/2010 05:00,0.8,0,0,7.47,2.56,0.53
18/10/2010 06:00,8,0.2,0,7.47,2.52,0.62
18/10/2010 07:00,0.4,0.8,0,7.46,2.49,0.69
18/10/2010 08:00,0.6,3.2,0.2,7.44,2.47,0.77
18/10/2010 09:00,0,0.2,0.6,7.43,2.45,0.86
18/10/2010 10:00,0.8,0.2,2.8,7.42,2.43,0.91
18/10/2010 11:00,0.6,0,0.4,7.42,2.41,0.9
18/10/2010 12:00,4.2,0,1.2,7.43,2.39,0.89
18/10/2010 13:00,1,0.4,0.2,7.43,2.36,0.89
18/10/2010 14:00,0,0.2,0,7.41,2.34,0.82
18/10/2010 15:00,0,0.8,0,7.39,2.32,0.78
18/10/2010 16:00,1.2,0.8,0,7.36,2.3,0.76
18/10/2010 17:00,3.4,2.8,0.8,7.34,2.29,0.75
18/10/2010 18:00,11.6,14.8,16.6,7.33,2.29,0.79
18/10/2010 19:00,1.8,7.6,4,7.32,2.28,0.8
18/10/2010 20:00,0.4,2,37.4,7.3,2.27,0.8
18/10/2010 21:00,0,2,16.8,7.28,2.26,0.75
18/10/2010 22:00,0.8,6.8,23.8,7.29,2.25,0.72
18/10/2010 23:00,6.2,10.2,7.4,7.33,2.26,0.64
19/10/2010 00:00,14.2,24.4,3,7.37,2.27,0.53
19/10/2010 01:00,36.6,4.6,4.4,7.37,2.29,0.41
19/10/2010 02:00,1.8,18.2,0.2,7.33,2.31,0.36
19/10/2010 03:00,4.2,5.2,0,7.35,2.32,0.35
19/10/2010 04:00,3.4,3.4,4.4,7.55,2.33,0.35
19/10/2010 05:00,3.2,2.4,0,8,2.33,0.4
19/10/2010 06:00,3.4,0.4,14.8,8.49,2.34,0.54
19/10/2010 07:00,9.2,5.6,2.6,8.77,2.34,0.65
19/10/2010 08:00,6.2,4.6,4.4,8.71,2.35,0.78
19/10/2010 09:00,3.2,3.2,5,8.66,2.35,0.88
